Id,Type,Instance,Charge,Stage,User,Group,Account,Organization,Class,QualityOfService,Machine,Nodes,Processors,CPUTime,Memory,Disk,Duration,StartTime,EndTime,Description,NodeID
2883623,Job,28596925,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,5400,,,135,2021-01-01 16:26:57,2021-01-01 16:29:12,,{g-01-c0008}
2883615,Job,28596889,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,241520,,,6038,2021-01-01 11:24:24,2021-01-01 13:05:02,,{g-11-g0015}
2883583,Job,28596571,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,292460,,,21824,2020-12-31 17:57:30,2021-01-01 00:01:14,,{g-01-c0024}
2883600,Job,28593219,0,Charge,bitqiu,ku_00039,ku_00039,,batch,,pbs,1,40,3931440,,,98286,2020-12-30 23:25:48,2021-01-01 02:43:54,,{g-06-f0016}
2883612,Job,28596892,0,Charge,dinghe,dinghe,ku_00039,,batch,,pbs,1,40,1320,,,33,2021-01-01 11:57:04,2021-01-01 11:57:37,,{g-05-c0344}
2883619,Job,28596895,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,249560,,,6239,2021-01-01 12:52:41,2021-01-01 14:36:40,,{g-11-g0019}
2883594,Job,28596568,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,330700,,,23656,2020-12-31 17:56:56,2021-01-01 00:31:12,,{g-01-c0027}
2883593,Job,28596579,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,316026,,,23356,2020-12-31 18:01:11,2021-01-01 00:30:27,,{g-01-c0006}
2883599,Job,28594271,0,Charge,franb,pr_47002,pr_47002,,batch,,pbs,1,40,2355200,,,58880,2020-12-31 09:04:42,2021-01-01 01:26:02,,{g-01-c0014}
2883597,Job,28596876,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,137516,,,4788,2020-12-31 23:35:40,2021-01-01 00:55:28,,{g-01-c0008}
2883587,Job,28596875,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,42836,,,2421,2020-12-31 23:35:40,2021-01-01 00:16:01,,{g-01-c0008}
2883609,Job,28596886,0,Charge,dinghe,dinghe,ku_00039,,batch,,pbs,1,40,5320,,,133,2021-01-01 11:15:33,2021-01-01 11:17:46,,{g-05-c0344}
2883606,Job,28596880[698],0,Charge,acek,cu_10051,cu_10051,,batch,,pbs,1,40,74553,,,5558,2021-01-01 07:13:52,2021-01-01 08:46:30,,{g-05-c0344}
2883618,Job,28596888,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,431680,,,10792,2021-01-01 11:23:51,2021-01-01 14:23:43,,{g-11-g0020}
2883611,Job,28596891,0,Charge,dinghe,dinghe,ku_00039,,batch,,pbs,1,40,1320,,,33,2021-01-01 11:53:11,2021-01-01 11:53:44,,{g-05-c0344}
2883604,Job,28532885[1701],0,Charge,karkri,karkri,ku_00009,,batch,,pbs,1,40,2671360,,,66784,2020-12-31 13:32:58,2021-01-01 08:06:02,,{g-10-c0685}
2883592,Job,28596580,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,313466,,,23292,2020-12-31 18:01:11,2021-01-01 00:29:23,,{g-01-c0006}
2883621,Job,28596905,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,227840,,,5696,2021-01-01 14:37:14,2021-01-01 16:12:10,,{g-11-g0017}
2883585,Job,28596572,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,301740,,,22288,2020-12-31 17:57:30,2021-01-01 00:08:58,,{g-01-c0024}
2883590,Job,28596578,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,331640,,,22925,2020-12-31 18:01:11,2021-01-01 00:23:16,,{g-01-c0024}
2883589,Job,28596581,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,304746,,,22856,2020-12-31 18:01:11,2021-01-01 00:22:07,,{g-01-c0006}
2883620,Job,28596904,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,2680,,,67,2021-01-01 14:36:40,2021-01-01 14:37:47,,{g-11-g0019}
2883596,Job,28596103,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,1179640,,,29491,2020-12-31 16:32:26,2021-01-01 00:43:57,,{g-12-g0027}
2883616,Job,28596884,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,588360,,,14709,2021-01-01 09:59:17,2021-01-01 14:04:26,,{g-11-g0017}
2883588,Job,28596808,0,Charge,dinghe,dinghe,ku_00039,,batch,,pbs,1,40,470640,,,11766,2020-12-31 21:02:10,2021-01-01 00:18:16,,{g-01-c0010}
